,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0106.b7.txt,1770.19,1262.94,838.51,517.6,0,1,0
1,0107.b7.txt,1628.7,1070.62,1036.45,535.31,0,1,6
2,0137.b7.txt,2117.88,969.03,819.18,349.65,4,1,2
3,0151.b7.txt,1944.09,1080.05,914.87,444.73,2,0,2
4,0157.b7.txt,1276.6,1229.31,886.52,591.02,5,1,1
5,0158.b7.txt,1812.8,1232.23,734.6,497.63,1,1,0
6,0178.b7.txt,1993.52,1029.17,956.24,721.23,4,0,2
7,0185.b7.txt,1809.82,1165.64,828.22,623.72,1,0,0
8,0186.b7.txt,1692.87,1112.45,737.61,652.96,0,0,1
9,0198.b7.txt,2037.04,1074.07,814.81,506.17,0,0,2
10,0219.b7.txt,2074.83,1009.07,1020.41,589.57,1,1,0
11,0223.b7.txt,1991.0,1046.12,866.14,449.94,0,0,1
12,0224.b7.txt,2105.26,1038.78,955.68,318.56,1,1,1
13,0238.b7.txt,1702.59,1185.34,711.21,560.34,1,0,1
14,0318.b7.txt,2088.35,923.69,829.99,508.7,1,0,0
