,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0101.a3.txt,1959.0,1104.78,728.93,455.58,1,0,2
1,0102.a3.txt,1817.13,1099.54,543.98,370.37,2,0,0
2,0103.a3.txt,2032.16,891.81,1052.63,584.8,7,0,2
3,0104.a3.txt,1645.24,1118.25,629.82,539.85,2,0,0
4,0105.a3.txt,1664.52,1303.23,632.26,800.0,2,0,2
5,0106.a3.txt,2212.5,962.5,762.5,600.0,1,0,0
6,0107.a3.txt,2222.22,1034.48,868.45,485.31,4,0,0
7,0109.a3.txt,1915.17,1272.49,437.02,411.31,2,0,0
8,0110.a3.txt,1982.32,1250.0,681.82,505.05,2,0,0
9,0111.a3.txt,1925.13,1176.47,534.76,401.07,3,0,1
10,0112.a3.txt,2054.96,1063.32,728.79,645.16,1,0,0
11,0115.a3.txt,2245.71,1175.69,673.71,713.34,0,0,0
12,0118.a3.txt,2526.48,1119.52,892.59,347.96,0,0,1
13,0119.a3.txt,2116.34,1101.49,742.57,470.3,1,0,1
14,0120.a3.txt,2106.78,1010.1,923.52,548.34,0,0,0
15,0121.a3.txt,1870.88,1014.49,474.31,566.53,2,0,0
16,0122.a3.txt,2342.01,1102.85,669.14,458.49,0,0,1
17,0125.a3.txt,2083.33,921.72,1022.73,479.8,3,0,2
18,0127.a3.txt,1867.82,1005.75,747.13,545.98,8,0,1
19,0128.a3.txt,1978.02,1112.64,521.98,659.34,3,0,2
20,0130.a3.txt,1571.59,989.52,686.85,721.77,2,0,0
21,0131.a3.txt,2155.61,1071.43,701.53,714.29,0,0,0
22,0133.a3.txt,1816.31,990.71,536.64,650.15,4,0,2
23,0134.a3.txt,2077.76,972.05,1008.51,595.38,0,0,0
24,0135.a3.txt,1984.44,1141.37,648.51,415.05,1,0,0
25,0136.a3.txt,1995.31,1232.39,633.8,446.01,0,0,0
26,0137.a3.txt,2005.01,927.32,802.01,676.69,0,0,0
27,0138.a3.txt,2053.97,1259.37,644.68,359.82,0,0,0
28,0139.a3.txt,1994.72,1347.42,647.29,343.46,0,0,0
29,0142.a3.txt,2183.24,1150.1,994.15,292.4,0,0,0
30,0143.a3.txt,2234.04,945.63,591.02,401.89,5,0,0
31,0146.a3.txt,1542.29,1430.35,609.45,534.83,3,0,0
32,0149.a3.txt,2108.74,1168.26,580.46,639.24,0,0,0
33,0155.a3.txt,1848.18,1045.1,759.08,462.05,2,0,1
34,0156.a3.txt,1974.68,1177.22,569.62,417.72,2,0,0
35,0157.a3.txt,1430.32,1210.27,599.02,562.35,0,0,0
36,0158.a3.txt,1795.58,1201.66,773.48,497.24,2,0,0
37,0159.a3.txt,2182.93,1109.76,536.59,609.76,1,0,3
38,0161.a3.txt,2099.74,958.01,839.9,498.69,0,0,0
39,0162.a3.txt,2393.82,900.9,682.11,411.84,0,0,0
40,0163.a3.txt,1752.94,976.47,705.88,623.53,0,0,2
41,0165.a3.txt,1727.98,1215.16,613.15,468.23,4,0,1
42,0168.a3.txt,1686.59,1235.06,690.57,491.37,1,0,2
43,0169.a3.txt,2170.73,1036.59,621.95,451.22,2,0,4
44,0171.a3.txt,1782.61,1304.35,630.43,554.35,2,0,0
45,0172.a3.txt,2092.2,1087.47,768.32,437.35,1,0,0
46,0173.a3.txt,2124.65,1218.13,552.41,524.08,1,0,1
47,0174.a3.txt,1957.75,1098.59,1154.93,450.7,1,0,0
48,0175.a3.txt,1887.03,1193.84,564.83,385.11,1,0,0
49,0176.a3.txt,2151.59,1075.79,501.22,415.65,3,0,0
50,0177.a3.txt,1832.4,1027.93,681.56,692.74,4,0,0
51,0178.a3.txt,2138.3,1031.91,808.51,638.3,0,0,1
52,0179.a3.txt,2240.96,1180.72,590.36,409.64,2,0,2
53,0182.a3.txt,2080.86,1129.61,653.98,606.42,0,0,2
54,0185.a3.txt,1928.82,1090.7,608.5,482.2,2,0,2
55,0186.a3.txt,1881.44,1043.81,798.97,734.54,2,0,0
56,0187.a3.txt,1677.18,1021.44,882.72,479.19,7,0,1
57,0188.a3.txt,1721.94,1211.73,752.55,548.47,1,0,0
58,0189.a3.txt,1927.6,1167.42,561.09,515.84,0,0,0
59,0190.a3.txt,1520.74,1267.28,541.47,472.35,1,0,3
60,0192.a3.txt,1528.15,1286.86,563.0,241.29,1,0,0
61,0193.a3.txt,2066.33,1237.24,599.49,357.14,2,1,0
62,0195.a3.txt,1972.01,992.37,432.57,636.13,1,0,1
63,0196.a3.txt,1977.01,1252.87,747.13,321.84,0,0,0
64,0198.a3.txt,1815.98,1053.27,472.15,496.37,2,1,0
65,0199.a3.txt,1926.38,1116.56,576.69,552.15,0,0,1
66,0200.a3.txt,2167.1,1057.44,744.13,796.34,0,0,0
67,0202.a3.txt,1978.02,1172.16,934.07,421.25,0,0,0
68,0203.a3.txt,2387.33,1120.58,743.0,389.77,4,0,1
69,0204.a3.txt,2082.15,1161.47,580.74,538.24,2,0,0
70,0205.a3.txt,2079.0,1039.5,602.91,457.38,2,0,1
71,0206.a3.txt,2278.31,1064.12,600.27,327.42,3,0,0
72,0207.a3.txt,1666.67,1272.97,603.67,314.96,0,1,0
73,0208.a3.txt,1928.14,1245.51,455.09,778.44,0,0,0
74,0209.a3.txt,2275.06,1182.52,578.41,282.78,3,0,4
75,0213.a3.txt,1777.25,1386.26,793.84,414.69,1,0,0
76,0214.a3.txt,1700.84,977.08,856.45,554.89,5,0,3
77,0215.a3.txt,1738.01,1275.68,462.33,419.52,2,0,4
78,0216.a3.txt,2343.75,973.56,697.12,456.73,1,0,1
79,0218.a3.txt,1961.02,1254.57,596.83,341.05,0,0,1
80,0219.a3.txt,2146.67,1240.0,560.0,600.0,1,0,1
81,0221.a3.txt,1899.28,1294.96,575.54,330.94,0,0,0
82,0222.a3.txt,1893.73,1307.9,544.96,449.59,2,0,1
83,0223.a3.txt,1859.36,1144.22,607.87,655.54,0,0,1
84,0224.a3.txt,1890.48,990.87,677.97,482.4,6,0,3
85,0226.a3.txt,2004.63,996.52,521.44,556.2,2,0,0
86,0227.a3.txt,1900.14,1109.57,735.09,485.44,1,0,1
87,0231.a3.txt,2303.73,1081.08,694.98,476.19,1,0,0
88,0232.a3.txt,1806.78,1317.44,790.46,451.69,1,0,1
89,0234.a3.txt,1825.5,1100.67,590.6,416.11,2,0,2
90,0235.a3.txt,1681.64,1181.0,500.64,372.27,1,0,1
91,0236.a3.txt,1825.04,1236.8,588.24,678.73,2,0,0
92,0237.a3.txt,2235.14,981.91,865.63,361.76,0,0,1
93,0238.a3.txt,1830.81,1325.76,593.43,303.03,0,0,0
94,1003.a3.txt,2235.0,1166.8,739.52,419.06,7,0,1
95,1005.a3.txt,2005.01,1152.88,701.75,488.72,0,0,0
96,1006.a3.txt,1833.33,1233.33,788.89,622.22,2,1,2
97,1007.a3.txt,2027.53,1163.95,725.91,613.27,0,0,0
98,1008.a3.txt,1827.04,1023.14,584.65,621.19,1,0,2
99,1009.a3.txt,1921.97,1184.97,794.8,361.27,0,0,1
100,1012.a3.txt,2083.33,1196.24,725.81,456.99,1,0,1
101,1013.a3.txt,1909.68,1096.77,606.45,400.0,1,0,1
102,1014.a3.txt,2198.58,1078.01,638.3,340.43,2,0,1
103,1017.a3.txt,1967.96,1281.46,732.27,572.08,0,0,0
104,1018.a3.txt,1879.19,1369.13,684.56,510.07,0,0,0
105,1020.a3.txt,2005.81,1124.03,620.16,581.4,1,0,0
106,1021.a3.txt,1741.14,1325.12,600.92,446.84,1,0,1
107,1022.a3.txt,2214.58,1265.47,687.76,385.14,1,0,1
108,1023.a3.txt,1771.74,1021.74,673.91,858.7,3,1,0
109,1032.a3.txt,1523.81,1297.62,797.62,690.48,0,0,0
110,1034.a3.txt,2058.82,1092.44,644.26,322.13,1,0,1
111,1036.a3.txt,2081.22,989.85,736.04,482.23,1,0,0
112,1041.a3.txt,1753.33,1245.47,640.87,386.94,8,0,1
113,1043.a3.txt,1817.07,1048.78,707.32,646.34,5,0,2
114,1048.a3.txt,2354.99,1206.5,545.24,533.64,0,0,0
115,1049.a3.txt,1774.61,1308.29,686.53,582.9,0,0,0
116,1050.a3.txt,2188.73,1114.02,615.99,458.72,1,0,0
117,1052.a3.txt,2251.97,1133.86,629.92,346.46,1,0,0
118,1055.a3.txt,1747.57,1234.4,707.35,596.39,2,0,2
119,1057.a3.txt,1736.19,1172.49,676.44,518.6,1,0,1
120,1058.a3.txt,2431.19,1146.79,561.93,481.65,1,0,2
121,1060.a3.txt,1862.75,1127.45,710.78,526.96,0,0,1
122,1061.a3.txt,1881.33,1128.8,578.87,463.1,0,0,0
123,1064.a3.txt,2210.93,1207.12,673.44,533.67,0,0,0
124,1065.a3.txt,1959.26,1125.12,669.25,562.56,0,0,1
125,1066.a3.txt,2031.82,1223.99,624.24,514.08,0,0,1
126,1067.a3.txt,1611.94,1134.33,820.9,388.06,5,0,0
127,1068.a3.txt,1940.74,1274.07,607.41,459.26,0,1,0
128,1069.a3.txt,1921.3,833.33,636.57,405.09,3,0,1
129,1070.a3.txt,2178.08,1315.07,643.84,465.75,1,0,1
130,1072.a3.txt,2176.28,1001.09,761.7,511.43,0,0,0
131,1074.a3.txt,1932.48,1164.14,698.49,454.02,0,0,0
132,1077.a3.txt,2390.44,1049.14,823.37,464.81,1,1,1
133,1081.a3.txt,1650.75,886.77,804.91,504.77,1,0,1
134,1088.a3.txt,1997.83,1226.93,640.61,445.17,2,1,0
135,1090.a3.txt,1809.41,1109.77,591.07,446.32,2,0,1
136,1094.a3.txt,1861.64,1308.18,603.77,490.57,1,0,0
137,1095.a3.txt,1975.61,1109.76,573.17,402.44,4,0,3
138,1097.a3.txt,2339.36,1144.58,712.85,391.57,1,1,1
139,1098.a3.txt,1722.77,1178.22,415.84,504.95,5,0,3
140,1099.a3.txt,2226.95,1021.28,709.22,368.79,1,0,0
141,1100.a3.txt,2216.49,1056.7,760.31,438.14,0,0,0
142,1102.a3.txt,2088.05,1106.92,540.88,578.62,2,0,0
143,1103.a3.txt,1465.04,1065.48,654.83,665.93,4,0,3
144,1104.a3.txt,2145.63,1223.3,475.73,563.11,2,0,0
145,1105.a3.txt,1768.56,1135.37,611.35,534.93,2,0,1
146,1106.a3.txt,1897.71,1197.85,619.11,417.23,2,0,1
147,1109.a3.txt,1905.56,1315.35,725.13,573.36,0,0,0
148,1112.a3.txt,1716.05,1308.64,641.98,543.21,1,0,0
149,1121.a3.txt,1918.86,1019.74,701.75,504.39,9,0,2
150,2000.a3.txt,2167.92,889.72,639.1,300.75,0,0,1
