,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0103.b3.txt,1861.84,560.24,589.72,244.31,19,1,39
1,0105.b3.txt,1392.19,865.87,755.52,398.98,7,0,8
2,0122.b3.txt,1386.6,793.81,597.94,262.89,14,2,14
3,0130.b3.txt,1583.29,763.28,696.24,428.06,11,5,11
4,0133.b3.txt,1300.78,771.34,561.39,360.57,38,4,18
5,0134.b3.txt,1555.56,947.37,801.17,818.71,11,0,10
6,0139.b3.txt,1963.66,838.22,838.22,363.42,10,1,8
7,0140.b3.txt,2699.75,647.6,580.32,277.54,5,0,2
8,0165.b3.txt,1723.0,652.75,629.56,248.51,43,0,21
9,0171.b3.txt,1622.81,789.47,814.54,313.28,11,0,19
10,0200.b3.txt,1768.25,790.35,837.24,428.67,9,0,4
11,0300.b3.txt,1597.01,845.77,805.97,293.53,23,1,14
12,0303.b3.txt,1536.7,779.82,825.69,435.78,2,0,1
13,0304.b3.txt,1699.06,835.13,611.95,439.16,6,4,9
14,0307.b3.txt,1625.21,740.74,773.91,232.17,12,4,20
15,0308.b3.txt,1773.37,909.09,851.47,710.63,4,1,4
16,0310.b3.txt,1753.3,721.95,808.58,565.18,22,6,11
17,0313.b3.txt,1716.12,549.32,773.86,280.67,5,2,13
18,1023.b3.txt,1258.06,729.03,767.74,451.61,8,0,7
19,1057.b3.txt,1804.95,949.05,649.2,366.81,19,1,15
20,1066.b3.txt,1707.32,885.47,959.7,429.48,9,0,8
21,1069.b3.txt,1459.32,707.55,654.48,398.0,36,1,24
22,1082.b3.txt,2100.29,677.3,885.7,319.11,13,2,17
23,1097.b3.txt,1585.37,839.02,897.56,531.71,13,1,10
24,1100.b3.txt,1630.28,749.64,662.3,305.68,15,2,4
25,1102.b3.txt,1674.07,711.11,925.93,437.04,4,4,4
26,1112.b3.txt,1591.28,888.53,823.91,460.42,8,0,9
27,1508.b3.txt,1541.41,866.44,655.82,315.94,18,1,19
28,1520.b3.txt,1170.84,779.04,533.03,287.02,20,1,29
29,1532.b3.txt,1625.78,846.56,663.78,365.56,16,3,19
30,1533.b3.txt,1710.58,895.82,709.36,340.49,8,0,15
31,1534.b3.txt,1701.26,834.84,970.22,500.9,13,0,9
32,1536.b3.txt,1828.94,747.71,683.16,467.99,13,3,6
33,2018.b3.txt,1784.26,1032.07,676.38,297.38,11,0,13
34,2034.b3.txt,1417.2,1135.88,599.79,398.09,14,0,11
