,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0103.b4.txt,1336.37,1138.95,592.26,455.58,7,0,2
1,0105.b4.txt,1212.38,1169.39,524.51,550.3,12,0,4
2,0107.b4.txt,1810.97,1240.98,656.57,245.31,10,0,6
3,0139.b4.txt,1521.3,1081.81,520.62,311.02,9,0,7
4,0140.b4.txt,1165.29,1132.23,396.69,471.07,10,0,5
5,0158.b4.txt,1383.65,1201.96,607.97,566.04,14,0,1
6,0165.b4.txt,1173.27,1002.33,435.12,372.96,8,0,5
7,0178.b4.txt,1537.84,1088.63,655.61,627.28,10,0,0
8,0200.b4.txt,1232.69,955.68,706.37,720.22,9,0,2
9,0219.b4.txt,1538.46,928.71,487.8,422.14,15,0,2
10,0300.b4.txt,1582.49,1119.53,454.55,336.7,11,0,6
11,0308.b4.txt,1357.39,1039.52,532.65,567.01,6,0,1
12,0310.b4.txt,1525.13,1109.19,664.36,398.61,11,0,2
13,0318.b4.txt,1409.36,941.12,375.52,352.34,14,0,3
14,1003.b4.txt,1576.45,1156.97,493.91,209.74,6,0,3
15,1021.b4.txt,1375.58,1097.37,479.13,409.58,10,0,3
16,1023.b4.txt,1253.2,946.29,805.63,792.84,9,0,3
17,1057.b4.txt,1431.32,1129.65,462.13,353.02,6,0,2
18,1069.b4.txt,1261.34,1178.9,560.59,708.99,8,0,5
19,1097.b4.txt,1480.99,1094.06,560.37,473.65,10,0,3
20,1100.b4.txt,1525.42,1052.63,481.71,303.3,5,0,2
21,1112.b4.txt,1344.43,1216.39,448.14,422.54,11,0,2
22,1508.b4.txt,1292.91,1095.69,489.41,314.1,11,0,3
23,1520.b4.txt,1284.29,972.57,579.8,411.47,4,0,3
24,1528.b4.txt,1394.1,1146.11,529.49,529.49,8,0,3
25,1532.b4.txt,1183.73,1147.42,392.16,522.88,13,0,4
26,2018.b4.txt,1243.82,1367.38,403.62,370.68,7,0,3
27,2030.b4.txt,1307.1,1166.55,491.92,421.64,10,0,4
28,2034.b4.txt,1310.61,878.79,636.36,363.64,13,0,4
