,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
90,1043.a4.txt,1352.42,1056.27,760.12,483.71,8,0,1
91,1048.a4.txt,1431.16,1322.46,534.42,570.65,4,0,2
92,1049.a4.txt,1364.58,1302.08,812.5,500.0,7,0,1
93,1050.a4.txt,1550.87,1215.88,794.04,409.43,4,0,2
94,1052.a4.txt,1366.34,1128.71,613.86,465.35,9,0,1
95,1055.a4.txt,1471.15,1009.62,605.77,423.08,10,1,1
96,1057.a4.txt,1325.92,1197.6,513.26,410.61,7,0,2
97,1060.a4.txt,1664.9,933.19,1018.03,328.74,4,0,0
98,1061.a4.txt,1446.24,1170.31,561.37,371.08,4,0,3
99,1064.a4.txt,1557.88,1061.79,617.93,443.86,8,0,2
100,1065.a4.txt,1313.3,1184.55,721.03,403.43,9,0,1
101,1066.a4.txt,1710.79,967.41,753.56,295.32,5,0,2
102,1067.a4.txt,1440.95,996.75,595.88,433.37,5,2,0
103,1068.a4.txt,2123.79,970.87,667.48,242.72,2,0,5
104,1070.a4.txt,1229.05,1262.57,391.06,681.56,4,0,1
105,1072.a4.txt,1579.38,939.32,748.13,415.63,4,0,1
106,1074.a4.txt,1389.65,1044.5,744.78,454.13,7,0,1
107,1076.a4.txt,1558.9,1054.03,593.45,292.29,7,1,1
108,1077.a4.txt,1892.2,1009.17,917.43,584.86,8,0,3
109,1081.a4.txt,1561.34,1105.95,613.38,260.22,8,0,3
110,1088.a4.txt,1259.11,1248.7,437.04,332.99,6,0,1
111,1090.a4.txt,1495.92,1169.54,689.03,407.98,7,0,3
112,1094.a4.txt,1184.63,1195.3,576.31,597.65,7,1,1
113,1095.a4.txt,1525.42,1152.54,666.67,587.57,9,0,0
114,1098.a4.txt,1379.68,1101.6,556.15,470.59,9,0,1
115,1099.a4.txt,1456.69,1161.42,649.61,255.91,8,0,2
116,1100.a4.txt,1431.58,1115.79,621.05,431.58,6,0,2
117,1102.a4.txt,1412.94,1104.48,805.97,427.86,7,1,3
118,1103.a4.txt,1552.8,1045.55,559.01,496.89,9,0,2
119,1104.a4.txt,1631.42,986.91,674.72,342.4,9,0,2
120,1112.a4.txt,1456.12,1147.54,617.16,540.02,7,0,1
121,1121.a4.txt,1569.87,1088.93,571.69,544.46,7,0,2
122,2000.a4.txt,1757.89,957.89,642.11,452.63,6,0,2
123,2005.a4.txt,1626.88,1122.9,512.82,539.35,6,0,3
124,2007.a4.txt,1396.53,1100.92,479.1,448.52,7,1,3
125,2008.a4.txt,1312.34,1233.6,787.4,511.81,4,0,1
126,2011.a4.txt,1782.27,944.12,799.61,385.36,7,0,2
127,2012.a4.txt,1615.06,1029.29,661.09,292.89,10,0,2
128,2014.a4.txt,1352.06,1071.12,676.03,403.86,7,0,1
129,2015.a4.txt,1594.36,1041.21,607.38,498.92,10,1,3
130,2017.a4.txt,1671.61,1078.14,623.15,435.21,6,0,0
131,2018.a4.txt,1779.4,1030.18,749.22,447.45,10,0,1
132,2019.a4.txt,1532.09,1283.64,476.19,414.08,6,0,1
133,2020.a4.txt,1360.33,1256.49,560.75,394.6,4,0,1
134,2021.a4.txt,1418.58,1268.73,479.52,419.58,3,0,1
135,2022.a4.txt,1478.6,1245.14,505.84,363.16,8,0,2
136,2024.a4.txt,1356.28,1234.82,556.68,495.95,9,0,1
137,2028.a4.txt,1729.29,1127.17,669.56,346.82,14,1,3
138,2030.a4.txt,1391.3,1269.57,478.26,426.09,7,0,2
139,2031.a4.txt,1588.52,995.22,660.29,478.47,10,0,2
140,2032.a4.txt,1585.84,1016.17,515.78,415.7,8,0,1
141,2034.a4.txt,1466.77,1150.73,478.12,478.12,9,0,3
142,2035.a4.txt,1473.48,1159.14,363.46,451.87,3,0,1
143,2036.a4.txt,1170.83,1199.62,642.99,412.67,6,0,0
144,2038.a4.txt,1739.59,971.18,629.67,426.89,6,0,2
145,2039.a4.txt,1677.73,976.3,597.16,511.85,8,0,3
146,2040.a4.txt,1388.33,1267.61,442.66,352.11,7,0,2
147,2042.a4.txt,1463.41,1043.9,653.66,273.17,9,0,0
148,2044.a4.txt,1662.09,1098.9,700.55,315.93,6,1,1
149,2046.a4.txt,1409.14,1049.56,719.14,417.88,9,0,1
150,2048.a4.txt,1697.97,1040.69,743.35,336.46,7,0,3
151,2049.a4.txt,1885.42,906.45,565.63,304.57,9,0,5
152,2050.a4.txt,1440.16,1085.19,699.8,212.98,5,0,1
153,2055.a4.txt,1452.46,982.24,574.71,355.28,9,0,0
154,2056.a4.txt,1309.3,1242.88,673.62,578.75,6,0,0
155,2057.a4.txt,1664.88,1138.56,612.24,558.54,7,0,1
156,2058.a4.txt,1490.94,922.57,988.47,403.62,10,0,3
157,2059.a4.txt,1530.82,984.1,616.3,387.67,7,0,3
158,2061.a4.txt,1321.12,1022.18,732.88,356.8,8,1,3
159,2062.a4.txt,1237.82,1218.32,614.04,419.1,7,0,1
160,2064.a4.txt,1420.88,1194.83,527.45,355.22,8,0,0
161,2065.a4.txt,1053.62,1194.73,564.44,413.92,10,0,2
162,2066.a4.txt,1678.92,1115.2,735.29,453.43,9,0,2
163,2067.a4.txt,1271.19,1112.29,572.03,434.32,9,0,1
164,2069.a4.txt,1378.24,1367.88,569.95,487.05,8,0,1
165,2071.a4.txt,1116.39,1152.02,617.58,451.31,8,0,0
166,2072.a4.txt,1686.39,1193.29,650.89,493.1,5,0,4
167,2074.a4.txt,1420.18,1283.06,597.45,381.98,6,0,2
168,2075.a4.txt,1419.81,1042.94,517.09,446.98,10,0,1
169,2076.a4.txt,1451.29,1182.9,596.42,457.26,4,0,1
170,3001.a4.txt,1484.67,1312.26,498.08,488.51,3,0,0
171,3003.a4.txt,1826.68,1129.99,713.68,331.35,5,0,0
172,3020.a4.txt,1433.05,1182.01,512.55,564.85,8,0,0
173,3026.a4.txt,1542.4,1184.21,628.65,402.05,4,0,0
174,3037.a4.txt,1449.1,1095.81,658.68,401.2,18,1,7
175,3042.a4.txt,1283.37,1365.5,544.15,605.75,6,0,0
176,3062.a4.txt,1725.63,966.35,767.9,491.8,6,0,4
177,3065.a4.txt,1383.32,1267.16,454.07,665.26,4,0,4
178,4023.a4.txt,1308.14,1143.41,620.16,562.02,8,1,0
179,4028.a4.txt,1456.61,1301.65,526.86,506.2,3,0,2
180,4030.a4.txt,1351.61,1379.96,444.23,567.11,7,0,0
181,4031.a4.txt,1256.33,1236.07,385.01,496.45,6,0,0
182,4034.a4.txt,1387.46,1387.46,616.65,544.71,5,0,1
183,4045.a4.txt,1522.16,1088.63,568.4,568.4,7,0,0
184,5009.a4.txt,1407.8,1024.45,693.99,323.86,5,0,1
