,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0101.a5.txt,2043.8,1078.67,754.26,413.63,5,1,1
1,0102.a5.txt,1657.46,1033.94,876.09,268.35,7,3,5
2,0103.a5.txt,1872.69,1079.34,636.53,396.68,5,3,3
3,0104.a5.txt,1937.56,909.09,651.97,376.49,5,3,6
4,0105.a5.txt,1554.7,1017.27,566.22,595.01,2,4,3
5,0106.a5.txt,2019.51,956.1,848.78,663.41,2,0,0
6,0107.a5.txt,2014.07,1222.52,773.97,554.09,3,0,0
7,0108.a5.txt,2099.92,1061.67,765.03,327.87,7,0,5
8,0111.a5.txt,1668.24,1046.18,688.03,301.6,7,6,4
9,0112.a5.txt,2175.88,1087.94,652.77,589.3,3,0,2
10,0115.a5.txt,1343.8,1090.75,732.98,488.66,11,2,2
11,0119.a5.txt,1864.98,1071.73,751.05,236.29,7,3,3
12,0121.a5.txt,1552.75,1035.17,590.58,384.87,6,0,6
13,0122.a5.txt,1773.18,1035.1,720.07,369.04,6,0,1
14,0125.a5.txt,2235.18,1000.97,874.64,485.91,1,0,2
15,0128.a5.txt,1947.16,1135.03,841.49,479.45,1,6,0
16,0130.a5.txt,1685.58,907.62,761.75,283.63,14,2,1
17,0134.a5.txt,1768.49,996.78,715.43,482.32,3,1,3
18,0137.a5.txt,1799.44,1059.04,581.07,459.23,2,2,3
19,0139.a5.txt,1352.89,1206.19,497.15,317.85,9,3,5
20,0140.a5.txt,1746.77,1007.39,646.95,286.51,6,3,2
21,0149.a5.txt,2588.42,1245.98,836.01,369.77,1,0,2
22,0157.a5.txt,1741.07,1169.64,625.0,598.21,3,0,0
23,0158.a5.txt,1569.15,1205.67,753.55,549.65,7,0,3
24,0159.a5.txt,2133.93,1062.5,964.29,339.29,0,0,0
25,0161.a5.txt,2223.14,884.3,975.21,264.46,2,0,3
26,0163.a5.txt,2311.25,939.91,893.68,439.14,1,0,0
27,0165.a5.txt,2076.99,993.73,832.59,295.43,4,0,3
28,0171.a5.txt,1591.75,928.52,530.58,390.57,15,2,2
29,0178.a5.txt,1528.26,1004.88,795.53,474.53,9,5,3
30,0182.a5.txt,2263.84,1083.06,749.19,431.6,7,0,2
31,0185.a5.txt,1807.23,1049.91,731.5,215.15,4,3,3
32,0186.a5.txt,1965.46,962.17,879.93,402.96,6,0,0
33,0187.a5.txt,2307.69,1098.9,778.39,366.3,5,1,5
34,0188.a5.txt,1571.54,1063.33,727.13,461.3,6,1,2
35,0192.a5.txt,1682.48,1095.77,664.37,448.66,9,2,2
36,0193.a5.txt,2212.47,1079.89,834.06,403.86,1,0,1
37,0197.a5.txt,1514.9,894.04,372.52,339.4,6,1,5
38,0198.a5.txt,2160.56,1010.9,802.78,376.61,2,0,0
39,0199.a5.txt,1845.7,966.8,791.02,390.62,6,5,1
40,0200.a5.txt,1481.16,1174.41,683.61,429.45,5,3,3
41,0206.a5.txt,1494.25,960.59,681.44,361.25,5,1,5
42,0214.a5.txt,1654.61,1075.95,678.12,316.46,9,4,2
43,0215.a5.txt,1777.42,960.77,560.45,288.23,8,2,3
44,0219.a5.txt,2063.06,981.98,891.89,603.6,3,0,3
45,0222.a5.txt,1772.77,1155.73,705.19,411.36,0,1,1
46,0223.a5.txt,1601.53,1042.15,681.99,390.8,6,2,6
47,0227.a5.txt,1638.62,936.36,738.84,351.13,12,2,1
48,0234.a5.txt,1586.62,926.24,514.58,334.48,10,6,4
49,0238.a5.txt,1916.49,1145.61,674.52,321.2,3,1,0
50,1003.a5.txt,2204.65,1041.86,716.28,241.86,4,0,0
51,1005.a5.txt,1792.67,997.66,576.77,358.53,3,1,4
52,1006.a5.txt,1629.83,994.48,672.19,414.36,9,4,2
53,1008.a5.txt,1947.84,1026.89,880.2,440.1,5,0,1
