,Filename,RelFreqNoun,RelFreqVerb,RelFreqAdj,RelFreqAdv,UniquePER,UniqueLOC,UniqueORG
0,0103.b1.txt,2033.33,1022.22,955.56,244.44,2,0,3
1,0105.b1.txt,2025.32,1040.79,689.17,857.95,0,0,1
2,0122.b1.txt,2150.54,1218.64,764.64,525.69,0,0,0
3,0134.b1.txt,1993.2,1019.25,815.4,668.18,0,0,0
4,0139.b1.txt,1890.95,1206.5,742.46,464.04,0,0,0
5,0140.b1.txt,2166.25,1045.34,743.07,554.16,0,0,0
6,0165.b1.txt,2049.27,963.05,582.31,604.7,9,0,0
7,0171.b1.txt,2067.62,1014.3,637.19,585.18,3,0,0
8,0200.b1.txt,2198.49,1055.28,778.89,829.15,0,1,2
9,0300.b1.txt,1673.91,923.91,1173.91,576.09,15,0,3
10,0304.b1.txt,1796.12,1310.68,760.52,631.07,1,0,0
11,0307.b1.txt,2091.72,861.3,704.7,290.83,12,0,3
12,0308.b1.txt,1930.5,984.56,936.29,733.59,1,0,0
13,0310.b1.txt,2035.29,964.71,694.12,635.29,5,0,4
14,0313.b1.txt,1712.71,1060.77,651.93,729.28,0,0,0
15,1003.b1.txt,2099.32,970.65,981.94,462.75,6,0,5
16,1006.b1.txt,2028.3,966.98,825.47,530.66,0,1,5
17,1006.b1i.txt,2028.3,966.98,825.47,530.66,0,1,5
18,1012.b1.txt,2154.63,975.92,836.5,405.58,0,0,0
19,1021.b1.txt,1749.71,927.0,880.65,579.37,1,0,2
20,1023.b1.txt,1802.39,857.76,1085.78,803.47,1,0,5
21,1057.b1.txt,1731.52,1225.68,768.48,700.39,0,1,0
22,1066.b1.txt,1917.16,1017.75,1088.76,603.55,1,0,3
23,1069.b1.txt,1623.85,834.86,651.38,623.85,6,1,7
24,1081.b1.txt,1930.01,1102.86,763.52,509.01,2,0,3
25,1097.b1.txt,1950.21,964.73,933.61,601.66,9,0,2
26,1100.b1.txt,2000.0,1081.08,1148.65,567.57,0,0,0
27,1102.b1.txt,2279.07,988.37,686.05,476.74,0,0,4
28,1104.b1.txt,1840.35,942.35,720.62,554.32,5,0,5
29,1104.b1i.txt,1840.35,942.35,720.62,554.32,5,0,5
30,1112.b1.txt,2074.87,1144.39,684.49,598.93,0,0,0
31,1500.b1.txt,2240.1,866.34,742.57,544.55,1,0,4
32,1508.b1.txt,2208.28,1154.33,765.37,564.62,0,0,0
33,1520.b1.txt,1989.42,962.96,783.07,529.1,0,2,2
34,1523.b1.txt,1219.16,1190.13,856.31,696.66,1,1,3
35,1528.b1.txt,2004.22,1086.5,569.62,274.26,7,0,4
36,1532.b1.txt,2173.91,857.14,819.88,447.2,1,0,2
37,1541.b1.txt,2011.1,818.31,846.05,582.52,1,1,1
38,2012.b1.txt,1794.87,1025.64,652.68,582.75,3,0,1
39,2012.b1i.txt,1794.87,1025.64,652.68,582.75,3,0,1
40,2018.b1.txt,2202.69,961.74,796.28,486.04,0,1,8
41,2019.b1.txt,1573.73,1263.94,768.28,582.4,3,0,0
42,2028.b1.txt,1743.12,1258.19,576.67,642.2,1,0,0
43,2030.b1.txt,1720.15,1039.79,975.61,654.69,1,0,0
44,2032.b1.txt,1819.34,1234.1,750.64,623.41,2,0,0
45,2034.b1.txt,1872.46,990.5,637.72,583.45,5,0,2
46,2036.b1.txt,1703.12,1234.38,781.25,656.25,0,0,0
47,2042.b1.txt,1649.87,1183.88,743.07,617.13,1,0,2
48,2049.b1.txt,2138.86,1007.84,694.29,503.92,4,0,1
49,2066.b1.txt,1831.75,1329.72,597.01,393.49,6,0,0
50,2070.b1.txt,2024.1,1084.34,542.17,445.78,2,0,2
51,2070.b1i.txt,2004.8,1080.43,540.22,444.18,2,0,2
52,3013.b1.txt,1969.2,1166.12,935.09,363.04,2,0,0
53,3018.b1.txt,1927.27,1236.36,678.79,533.33,2,0,1
54,3020.b1.txt,1895.83,1062.5,625.0,406.25,1,1,4
55,3062.b1.txt,2287.1,912.41,1009.73,510.95,0,0,0
56,3501.b1.txt,2313.83,970.74,930.85,425.53,3,1,2
57,3503.b1.txt,2407.68,812.41,738.55,384.05,0,0,0
58,3504.b1.txt,2074.53,956.52,720.5,484.47,7,0,12
59,3505.b1.txt,1629.15,1146.84,911.04,750.27,2,0,4
60,3506.b1.txt,2293.14,921.99,851.06,319.15,0,0,3
61,3508.b1.txt,1834.57,858.96,1092.26,572.64,2,4,1
62,3509.b1.txt,1810.75,1074.77,771.03,607.48,1,0,5
63,3510.b1.txt,1874.33,883.92,937.17,394.04,4,1,11
64,3511.b1.txt,1684.9,1192.56,897.16,711.16,0,0,0
65,3513.b1.txt,2151.1,1269.67,860.44,325.29,2,1,1
66,3514.b1.txt,2112.26,1019.2,886.26,413.59,8,0,1
67,3515.b1.txt,2293.91,1063.32,931.9,513.74,2,0,0
68,3518.b1.txt,1730.77,1085.97,588.24,667.42,5,0,0
69,3519.b1.txt,1433.12,971.34,828.03,461.78,0,0,3
70,3520.b1.txt,2418.37,897.96,867.35,612.24,0,1,0
71,3522.b1.txt,2076.32,1167.23,718.29,471.38,1,0,4
72,3523.b1.txt,2160.97,1091.51,1003.31,518.19,0,0,9
73,3525.b1.txt,1767.52,1210.19,748.41,366.24,1,0,1
74,4012.b1.txt,2253.05,965.59,688.12,677.03,1,0,0
75,4035.b1.txt,1553.78,1155.38,624.17,717.13,1,0,0
76,4036.b1.txt,1730.77,1018.1,984.16,486.43,3,0,1
77,4038.b1.txt,2090.8,1003.58,752.69,645.16,0,0,0
78,4503.b1.txt,1872.61,1108.28,611.46,382.17,2,2,2
79,4507.b1.txt,2269.01,1309.94,760.23,514.62,2,0,1
